<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20110322,2.5437,2.5437,2.5437,2.5437,0
ABI,20110323,2.6174,2.6174,2.6174,2.6174,100
ABI,20110324,2.4331,2.5805,2.4331,2.4331,3000
ABI,20110325,2.3225,2.4700,2.3225,2.4700,69200
ABI,20110328,2.5806,2.5806,2.5806,2.5806,100
ABI,20110329,2.6175,2.6175,2.6174,2.6174,100
ABI,20110330,2.6174,2.6174,2.6174,2.6174,0
ABI,20110331,2.6174,2.6174,2.6174,2.6174,0
ABI,20110401,2.6174,2.6174,2.6174,2.6174,0
ABI,20110404,2.4331,2.5068,2.4331,2.5068,3000
ABI,20110405,2.5805,2.5806,2.5805,2.5806,100
ABI,20110406,2.6175,2.6175,2.6174,2.6174,100
ABI,20110407,2.5805,2.5806,2.5805,2.5806,1000
ABI,20110408,2.6175,2.6175,2.5806,2.5806,2100
ABI,20110413,2.5806,2.5806,2.3225,2.5806,1200
ABI,20110414,2.3225,2.3963,2.3225,2.3962,300
ABI,20110415,2.3593,2.5068,2.3593,2.5068,1300
ABI,20110418,2.1382,2.5805,2.1382,2.5437,500
ABI,20110419,2.5806,2.6912,2.5437,2.5806,1600
ABI,20110420,2.5437,2.5806,2.5437,2.5806,400
ABI,20110421,2.6912,2.8387,2.6912,2.7280,3600
ABI,20110422,2.6911,2.6912,2.6911,2.6912,0
ABI,20110425,2.5069,2.5806,2.4700,2.5806,800
ABI,20110426,2.4700,2.5437,2.4331,2.5437,4100
ABI,20110427,2.5806,2.5806,2.5806,2.5806,200
